temp,rh,rain
20.1,68.3,0
20.7,60.6,0
21.2,56.6,0
21.5,49.8,0
21.8,52.3,0
21.3,60,0
20.3,62,0
18,72.3,13.5
16.4,58.8,0.5
16.2,63.8,0
18.1,64.3,0
19.3,64.3,0
19.9,60.4,0
19,61.6,0
19,61.4,0
19.6,52.9,0
19.2,54.9,0
18.4,53,0
17.6,60,0
15.7,69.6,13
13.9,47.4,0
14.9,51.8,0
16.4,54,0
16.3,39.9,0
14.8,33.3,0
17.1,46.5,0
12.6,57,2.5
11.6,46.5,0
14.8,52.3,0
15.8,65,0
18.3,70.5,0
13.4,77.3,39.5
10,49.4,0
13.2,62.8,0
15.2,68.5,0
15.9,62.1,0
14.3,84.5,44
14.3,65.4,0
11.7,60.6,0
8.6,55.4,0.1
6.9,50.9,0.2
5.6,36.5,0
7.2,36.9,0
9.4,41.5,0
11.8,56.5,4
8.5,87.6,8
7.1,81,5
8.4,68.4,0
8.8,74.6,0
9.4,63.6,0
12,49.3,0
8.7,72,28
7.3,67.8,3
5.3,54.8,0
2.4,53.3,0
4.2,51.5,0
4.9,74,9.5
5.3,61.6,1.5
3.5,45.1,0
3.4,64.4,5.5
1.9,51.6,0
4.1,62.5,0
6.7,68.3,0.3
3.3,63,0
1.7,46.9,0
3.4,55.6,0.5
2.3,51.5,1
2.1,38.9,0
5,54.5,1
0.8,34.4,0
1.7,49.6,0.5
-0.9,47.9,0
2.9,50.4,0
1.7,66.9,5.4
-3.3,41.3,0
-3.8,66.5,5.8
-6.3,53.4,0.1
-4.5,76,1.9
-8.2,42.4,0
-10.5,45.5,0
-8.3,51.3,0
-6.5,55.3,0
-5,56.8,0
-1.5,55.1,0
2.7,79.8,18.5
4.6,78.4,0.5
1.6,77,0
-0.4,65.4,0
-6.8,49.4,0
-6.9,45,0
-3.4,49.1,0
-0.7,66.1,1.8
-3,67.4,0
-8.9,53.9,0
-8.8,52,0
-8.9,50.9,1
-10.8,33.5,0
-5.7,47.1,0
-0.9,59.5,0
-0.3,84.1,4.1
-8.2,54.6,2.3
-8.7,45.9,0
-4.7,73.5,3.1
-11.7,40.8,0
-13.2,42.8,0
-10.7,44.3,0
-7,59.4,0
-6.3,59.4,0
-5.1,53.6,0
-4.6,53.4,0
-9,38.5,0
-8.3,41.3,0
-3.2,50.5,0
0,70,0.1
-0.5,65.6,0
-2.1,61.6,0
-2.1,57,0
-2.6,64.1,0.3
-5.8,62.9,0
-4.4,51.9,0
0.5,59.9,0
1.6,55.8,0
2.2,83.6,16.5
3.8,74.3,0.5
1.8,80.4,1.5
-0.9,57.6,0.1
-9.1,37.5,0
-9.2,37,0
-7.3,44.9,0
-3.5,56,0
2.2,63.5,0
5.4,68.8,0
7.4,59.5,0
7.3,85.8,46.5
-1.1,52.1,0
-3.2,62.3,7.5
-0.8,77.1,7.4
-0.6,77,4.5
-1.5,75,2.1
-11.1,42.5,0
-11.5,39.3,0
-7.2,55.5,0
-4,56.6,1.2
-5.8,41.8,0
-3.8,55.6,0
-1.3,59.6,0
1.1,60.1,0
-1.2,48.4,0
-2.6,38.8,0
2.3,44.5,0
0.5,49.8,0
-2.9,27.5,0
-4.8,35.3,0
-1.7,49,0
0.5,57.1,3.9
-0.9,45.9,0
1.4,42.4,0
3.3,39.4,0
4.8,56.4,0
3.4,69.5,0
6.7,57.3,1
0.8,56.1,3
-0.8,42.6,0
0.4,50.3,0
3.1,58.6,0
3.7,51.8,0
7.9,43.1,0
8,74.1,0.5
8.5,66,0
13.2,48.8,0
1.2,32.5,0
4.2,33.4,0
7.5,60.4,3.5
5.2,64.5,11.5
4.1,48.9,0
4.6,43.4,0
6.3,53.6,0
8.2,57.5,7.5
8.3,73,1
8,61.1,0
2.8,51.9,0.1
1.5,34.3,0
3.4,61.6,0
5.4,39,0
5.1,47.4,0
2.8,40.3,0
4.4,39.9,0
7.5,30.1,0
7.3,42.1,0
5.4,28.6,0
4.9,43.1,0.2
6.3,46.4,0
9.2,44.5,0.5
7.2,86.1,8.5
7.9,64,0
12.6,44.5,0
14.6,42.1,0
7.5,84.4,14
5.1,57.3,1
8,55.1,1
6.2,50.8,0.5
5,49.3,1.5
5.5,54.5,0.5
6.9,42.6,0
11.4,38.6,0
8.3,40.4,3.5
7.5,31.5,0
13.2,54.5,0
14.8,62.3,0
12.3,37.4,0
9.8,27,0
6.6,70.8,9.5
9,58.8,0
11.4,43.8,0
11.2,59.3,5.5
12.3,67,0.1
9.3,78.9,4.5
11.7,55,0.1
12.8,51.4,0
16,51,0
13.5,67.6,21
13.4,48.8,0
13.2,52.4,1
12.4,67.1,1
12.6,64.8,0
13.9,58.1,0
14.3,51.8,0
14.6,54,0
18.7,41.4,0
19.4,33.6,0
18.1,55.3,2.5
14,89.3,22
17.9,55.5,0
19.1,61.3,1
21.6,45,0
20.2,46.9,0
19.4,57,0
22,33.3,0
20.2,36.6,0
17.7,62.8,14.5
16.6,80.9,19.5
14.4,76,0
17.7,43.3,0
19.7,49.4,0
22.1,59.3,0
21.3,58.9,0
24.7,49.6,0
23.9,45.9,0
19.7,80.4,56.5
18.9,89.1,11.5
16.1,87.8,2.5
19.2,57.9,0
21.3,46.6,0
21.7,44.3,0
23.5,48.6,0
21.3,59,0
22.8,54.3,0.2
24.8,51.8,0
25,55.9,0
25.7,50.9,0
26.4,48.5,0
27.4,38.3,0
27.5,35.5,0
23.7,57.9,7
20.5,85.4,6.5
23,70.5,0
24.6,62.3,0
24.6,58.4,0
22.5,69.8,0
22.3,76.8,0.5
21.7,90.1,12
24.3,71.1,0.1
25.8,58.5,0
26.6,57.5,0
25.1,63.9,0
22.9,69.6,0.3
23.5,66.6,0
25.1,58.6,0
24.5,59.8,0
25.1,63.1,0
25.5,61.1,1.5
27.2,54.8,0
27.7,60.4,0.2
27.1,58.4,0
24.3,82.5,51.5
25.2,69.1,0
24.9,84.3,32.5
25.6,73.4,1
25.2,73,0
24.9,78.8,3
24.3,88.6,68
24.5,87.3,6.5
25.3,82.8,1
24.6,86,14
23.6,88.4,74
24.2,90.1,165
24.1,90.9,23
26.5,80.1,3.5
26.9,70.4,1.5
24.2,89.1,18.5
25.1,85.6,26.5
26.8,72,0
27,72.4,1
26.8,78.8,0.5
26.4,81,84.5
25.7,87.3,56.5
24.7,79,11.5
26,71.8,0
26.5,70.9,0
26.2,67.8,0.2
25.3,85.5,11
26.5,82.3,3.5
26.3,73.9,9.5
26.4,75.4,8.5
28,67.3,0
27.4,80.4,7.5
28.9,72.3,0.1
28.3,76.4,4.5
27.7,78.9,7
26.4,80.8,45
28.7,73.8,0
29.3,73.5,0
29.2,79.9,0
28,82.4,2
28.7,71.8,0
29.3,69.8,0
29,65.6,0
28.6,67.1,0
28.7,71.5,0
28.7,71.8,4.5
28.7,69.6,0
28.3,72.8,13
28.2,68.9,6
27.4,62,0
28.8,54.9,0
29.3,58.6,0
25.7,78.9,35
26.6,60.4,0
27.1,52.3,0
27,52.3,0
25.6,61.6,0
26.4,59.4,0
25.5,79.1,21.5
25.1,69.6,0
24,65.8,2.5
23.5,54.6,0
22.4,49.9,0
21.7,43.5,0
22,46.5,0
21.2,52.9,0
20.8,59.6,0
21.9,61.8,0
22.9,63.4,0
23,67,0
22,76.3,11.5
20.1,90.6,36.5
23,80.4,0.5
22.9,87.5,50
23.1,81.1,11.5
23.4,59.5,0
20.9,49.3,0
22.6,48.4,0
24.4,54,0
24.7,56,0
23.4,71.5,0
23.8,66.9,0
23.1,54.9,0
23.8,55.6,0
22,81.8,4.5
19.5,57.3,0
17.3,36.9,0
17.9,50.9,0
17.4,70.6,4
17.2,86.1,19
20.7,71.8,1
21.6,66.8,0
19.4,58.6,0
16.3,49.1,0
